"","date","targetTeam","rank"
"10209",2019-03-11,"Dallas Stars",16
"10210",2019-03-12,"Dallas Stars",17
"10211",2019-03-13,"Dallas Stars",16
"10212",2019-03-14,"Dallas Stars",16
"10213",2019-03-15,"Dallas Stars",15
"10214",2019-03-16,"Dallas Stars",15
"10215",2019-03-17,"Dallas Stars",16
"10216",2019-03-18,"Dallas Stars",16
"10217",2019-03-19,"Dallas Stars",16
"10218",2019-03-20,"Dallas Stars",16
"10219",2019-03-21,"Dallas Stars",16
"10220",2019-03-22,"Dallas Stars",16
"10221",2019-03-23,"Dallas Stars",16
"10222",2019-03-24,"Dallas Stars",16
"10223",2019-03-25,"Dallas Stars",16
"10224",2019-03-26,"Dallas Stars",16
"10225",2019-03-27,"Dallas Stars",16
"10226",2019-03-28,"Dallas Stars",16
"10227",2019-03-29,"Dallas Stars",16
"10228",2019-03-30,"Dallas Stars",16
"10229",2019-03-31,"Dallas Stars",16
"10230",2019-04-01,"Dallas Stars",16
"10231",2019-04-02,"Dallas Stars",16
"10232",2019-04-03,"Dallas Stars",16
"10233",2019-04-04,"Dallas Stars",16
"10234",2019-04-05,"Dallas Stars",16
"10235",2019-04-06,"Dallas Stars",16
"10236",2019-10-02,"Dallas Stars",0
"10237",2019-10-03,"Dallas Stars",6
"10238",2019-10-04,"Dallas Stars",15
"10239",2019-10-05,"Dallas Stars",18
"10240",2019-10-06,"Dallas Stars",22
"10241",2019-10-07,"Dallas Stars",23
"10242",2019-10-08,"Dallas Stars",24
"10243",2019-10-09,"Dallas Stars",18
"10244",2019-10-10,"Dallas Stars",19
"10245",2019-10-11,"Dallas Stars",20
"10246",2019-10-12,"Dallas Stars",20
"10247",2019-10-13,"Dallas Stars",25
"10248",2019-10-14,"Dallas Stars",26
"10249",2019-10-15,"Dallas Stars",26
"10250",2019-10-16,"Dallas Stars",27
"10251",2019-10-17,"Dallas Stars",27
"10252",2019-10-18,"Dallas Stars",28
"10253",2019-10-19,"Dallas Stars",29
"10254",2019-10-20,"Dallas Stars",26
"10255",2019-10-21,"Dallas Stars",26
"10256",2019-10-22,"Dallas Stars",22
"10257",2019-10-23,"Dallas Stars",23
"10258",2019-10-24,"Dallas Stars",23
"10259",2019-10-25,"Dallas Stars",22
"10260",2019-10-26,"Dallas Stars",22
"10261",2019-10-27,"Dallas Stars",23
"10262",2019-10-28,"Dallas Stars",23
"10263",2019-10-29,"Dallas Stars",23
"10264",2019-10-30,"Dallas Stars",22
"10265",2019-10-31,"Dallas Stars",22
"10266",2019-11-01,"Dallas Stars",22
"10267",2019-11-02,"Dallas Stars",21
"10268",2019-11-03,"Dallas Stars",20
"10269",2019-11-04,"Dallas Stars",20
"10270",2019-11-05,"Dallas Stars",20
"10271",2019-11-06,"Dallas Stars",18
"10272",2019-11-07,"Dallas Stars",18
"10273",2019-11-08,"Dallas Stars",20
"10274",2019-11-09,"Dallas Stars",21
"10275",2019-11-10,"Dallas Stars",22
"10276",2019-11-11,"Dallas Stars",21
"10277",2019-11-12,"Dallas Stars",21
"10278",2019-11-13,"Dallas Stars",21
"10279",2019-11-14,"Dallas Stars",19
"10280",2019-11-15,"Dallas Stars",15
"10281",2019-11-16,"Dallas Stars",15
"10282",2019-11-17,"Dallas Stars",12
"10283",2019-11-18,"Dallas Stars",12
"10284",2019-11-19,"Dallas Stars",12
"10285",2019-11-20,"Dallas Stars",11
"10286",2019-11-21,"Dallas Stars",12
"10287",2019-11-22,"Dallas Stars",7
"10288",2019-11-23,"Dallas Stars",7
"10289",2019-11-24,"Dallas Stars",6
"10290",2019-11-25,"Dallas Stars",8
"10291",2019-11-26,"Dallas Stars",6
"10292",2019-11-27,"Dallas Stars",6
"10293",2019-11-28,"Dallas Stars",7
"10294",2019-11-29,"Dallas Stars",7
"10295",2019-11-30,"Dallas Stars",9
"10296",2019-12-01,"Dallas Stars",11
"10297",2019-12-02,"Dallas Stars",9
"10298",2019-12-03,"Dallas Stars",9
"10299",2019-12-04,"Dallas Stars",11
"10300",2019-12-05,"Dallas Stars",12
"10301",2019-12-06,"Dallas Stars",10
"10302",2019-12-07,"Dallas Stars",11
"10303",2019-12-08,"Dallas Stars",10
"10304",2019-12-09,"Dallas Stars",11
"10305",2019-12-10,"Dallas Stars",11
"10306",2019-12-11,"Dallas Stars",9
"10307",2019-12-12,"Dallas Stars",9
"10308",2019-12-13,"Dallas Stars",12
"10309",2019-12-14,"Dallas Stars",7
"10310",2019-12-15,"Dallas Stars",8
"10311",2019-12-16,"Dallas Stars",10
"10312",2019-12-17,"Dallas Stars",11
"10313",2019-12-18,"Dallas Stars",13
"10314",2019-12-19,"Dallas Stars",13
"10315",2019-12-20,"Dallas Stars",10
"10316",2019-12-21,"Dallas Stars",11
"10317",2019-12-22,"Dallas Stars",13
"10318",2019-12-23,"Dallas Stars",14
"10319",2019-12-27,"Dallas Stars",15
"10320",2019-12-28,"Dallas Stars",15
"10321",2019-12-29,"Dallas Stars",14
"10322",2019-12-30,"Dallas Stars",11
"10323",2019-12-31,"Dallas Stars",11
"10324",2020-01-01,"Dallas Stars",13
"10325",2020-01-02,"Dallas Stars",11
"10326",2020-01-03,"Dallas Stars",12
"10327",2020-01-04,"Dallas Stars",9
"10328",2020-01-05,"Dallas Stars",10
"10329",2020-01-06,"Dallas Stars",11
"10330",2020-01-07,"Dallas Stars",12
"10331",2020-01-08,"Dallas Stars",14
"10332",2020-01-09,"Dallas Stars",11
"10333",2020-01-10,"Dallas Stars",7
"10334",2020-01-11,"Dallas Stars",8
"10335",2020-01-12,"Dallas Stars",10
"10336",2020-01-13,"Dallas Stars",11
"10337",2020-01-14,"Dallas Stars",11
"10338",2020-01-15,"Dallas Stars",8
"10339",2020-01-16,"Dallas Stars",8
"10340",2020-01-17,"Dallas Stars",11
"10341",2020-01-18,"Dallas Stars",12
"10342",2020-01-19,"Dallas Stars",18
"10343",2020-01-20,"Dallas Stars",18
"10344",2020-01-21,"Dallas Stars",18
"10345",2020-01-22,"Dallas Stars",18
"10346",2020-01-27,"Dallas Stars",18
"10347",2020-01-28,"Dallas Stars",14
"10348",2020-01-29,"Dallas Stars",14
"10349",2020-01-30,"Dallas Stars",15
"10350",2020-01-31,"Dallas Stars",15
"10351",2020-02-01,"Dallas Stars",17
"10352",2020-02-02,"Dallas Stars",16
"10353",2020-02-03,"Dallas Stars",16
"10354",2020-02-04,"Dallas Stars",12
"10355",2020-02-05,"Dallas Stars",12
"10356",2020-02-06,"Dallas Stars",12
"10357",2020-02-07,"Dallas Stars",13
"10358",2020-02-08,"Dallas Stars",14
"10359",2020-02-09,"Dallas Stars",12
"10360",2020-02-10,"Dallas Stars",12
"10361",2020-02-11,"Dallas Stars",13
"10362",2020-02-12,"Dallas Stars",11
"10363",2020-02-13,"Dallas Stars",12
"10364",2020-02-14,"Dallas Stars",10
"10365",2020-02-15,"Dallas Stars",10
"10366",2020-02-16,"Dallas Stars",7
"10367",2020-02-17,"Dallas Stars",5
"10368",2020-02-18,"Dallas Stars",6
"10369",2020-02-19,"Dallas Stars",8
"10370",2020-02-20,"Dallas Stars",6
"10371",2020-02-21,"Dallas Stars",8
"10372",2020-02-22,"Dallas Stars",8
"10373",2020-02-23,"Dallas Stars",8
"10374",2020-02-24,"Dallas Stars",8
"10375",2020-02-25,"Dallas Stars",8
"10376",2020-02-26,"Dallas Stars",7
"10377",2020-02-27,"Dallas Stars",7
"10378",2020-02-28,"Dallas Stars",7
"10379",2020-02-29,"Dallas Stars",8
"10380",2020-03-01,"Dallas Stars",8
"10381",2020-03-02,"Dallas Stars",8
"10382",2020-03-03,"Dallas Stars",8
"10383",2020-03-04,"Dallas Stars",8
"10384",2020-03-05,"Dallas Stars",8
"10385",2020-03-06,"Dallas Stars",9
"10386",2020-03-07,"Dallas Stars",9
"10387",2020-03-08,"Dallas Stars",10
"10388",2020-03-09,"Dallas Stars",10
"10389",2020-03-10,"Dallas Stars",10
"10390",2020-03-11,"Dallas Stars",12
"10391",2014-10-08,"Detroit Red Wings",0
"10392",2014-10-09,"Detroit Red Wings",5
"10393",2014-10-10,"Detroit Red Wings",2
"10394",2014-10-11,"Detroit Red Wings",2
"10395",2014-10-12,"Detroit Red Wings",13
"10396",2014-10-13,"Detroit Red Wings",14
"10397",2014-10-14,"Detroit Red Wings",16
"10398",2014-10-15,"Detroit Red Wings",20
"10399",2014-10-16,"Detroit Red Wings",20
"10400",2014-10-17,"Detroit Red Wings",22
"10401",2014-10-18,"Detroit Red Wings",13
"10402",2014-10-19,"Detroit Red Wings",8
"10403",2014-10-20,"Detroit Red Wings",10
"10404",2014-10-21,"Detroit Red Wings",10
"10405",2014-10-22,"Detroit Red Wings",9
"10406",2014-10-23,"Detroit Red Wings",9
"10407",2014-10-24,"Detroit Red Wings",6
"10408",2014-10-25,"Detroit Red Wings",7
"10409",2014-10-26,"Detroit Red Wings",8
"10410",2014-10-27,"Detroit Red Wings",10
"10411",2014-10-28,"Detroit Red Wings",10
"10412",2014-10-29,"Detroit Red Wings",14
"10413",2014-10-30,"Detroit Red Wings",7
"10414",2014-10-31,"Detroit Red Wings",10
"10415",2014-11-01,"Detroit Red Wings",4
"10416",2014-11-02,"Detroit Red Wings",7
"10417",2014-11-03,"Detroit Red Wings",8
"10418",2014-11-04,"Detroit Red Wings",8
"10419",2014-11-05,"Detroit Red Wings",12
"10420",2014-11-06,"Detroit Red Wings",8
"10421",2014-11-07,"Detroit Red Wings",11
"10422",2014-11-08,"Detroit Red Wings",7
"10423",2014-11-09,"Detroit Red Wings",10
"10424",2014-11-10,"Detroit Red Wings",8
"10425",2014-11-11,"Detroit Red Wings",9
"10426",2014-11-12,"Detroit Red Wings",11
"10427",2014-11-13,"Detroit Red Wings",13
"10428",2014-11-14,"Detroit Red Wings",16
"10429",2014-11-15,"Detroit Red Wings",10
"10430",2014-11-16,"Detroit Red Wings",12
"10431",2014-11-17,"Detroit Red Wings",13
"10432",2014-11-18,"Detroit Red Wings",13
"10433",2014-11-19,"Detroit Red Wings",12
"10434",2014-11-20,"Detroit Red Wings",12
"10435",2014-11-21,"Detroit Red Wings",9
"10436",2014-11-22,"Detroit Red Wings",11
"10437",2014-11-23,"Detroit Red Wings",12
"10438",2014-11-24,"Detroit Red Wings",12
"10439",2014-11-25,"Detroit Red Wings",10
"10440",2014-11-26,"Detroit Red Wings",10
"10441",2014-11-27,"Detroit Red Wings",10
"10442",2014-11-28,"Detroit Red Wings",10
"10443",2014-11-29,"Detroit Red Wings",9
"10444",2014-11-30,"Detroit Red Wings",10
"10445",2014-12-01,"Detroit Red Wings",7
"10446",2014-12-02,"Detroit Red Wings",8
"10447",2014-12-03,"Detroit Red Wings",10
"10448",2014-12-04,"Detroit Red Wings",10
"10449",2014-12-05,"Detroit Red Wings",9
"10450",2014-12-06,"Detroit Red Wings",9
"10451",2014-12-07,"Detroit Red Wings",5
"10452",2014-12-08,"Detroit Red Wings",2
"10453",2014-12-09,"Detroit Red Wings",2
"10454",2014-12-10,"Detroit Red Wings",2
"10455",2014-12-11,"Detroit Red Wings",2
"10456",2014-12-12,"Detroit Red Wings",4
"10457",2014-12-13,"Detroit Red Wings",2
"10458",2014-12-14,"Detroit Red Wings",4
"10459",2014-12-15,"Detroit Red Wings",5
"10460",2014-12-16,"Detroit Red Wings",6
"10461",2014-12-17,"Detroit Red Wings",6
"10462",2014-12-18,"Detroit Red Wings",6
"10463",2014-12-19,"Detroit Red Wings",6
"10464",2014-12-20,"Detroit Red Wings",7
"10465",2014-12-21,"Detroit Red Wings",9
"10466",2014-12-22,"Detroit Red Wings",9
"10467",2014-12-23,"Detroit Red Wings",9
"10468",2014-12-27,"Detroit Red Wings",8
"10469",2014-12-28,"Detroit Red Wings",6
"10470",2014-12-29,"Detroit Red Wings",6
"10471",2014-12-30,"Detroit Red Wings",8
"10472",2014-12-31,"Detroit Red Wings",8
"10473",2015-01-01,"Detroit Red Wings",8
"10474",2015-01-02,"Detroit Red Wings",8
"10475",2015-01-03,"Detroit Red Wings",8
"10476",2015-01-04,"Detroit Red Wings",8
"10477",2015-01-05,"Detroit Red Wings",8
"10478",2015-01-06,"Detroit Red Wings",8
"10479",2015-01-07,"Detroit Red Wings",8
"10480",2015-01-08,"Detroit Red Wings",7
"10481",2015-01-09,"Detroit Red Wings",7
"10482",2015-01-10,"Detroit Red Wings",8
"10483",2015-01-11,"Detroit Red Wings",9
"10484",2015-01-12,"Detroit Red Wings",9
"10485",2015-01-13,"Detroit Red Wings",10
"10486",2015-01-14,"Detroit Red Wings",8
"10487",2015-01-15,"Detroit Red Wings",10
"10488",2015-01-16,"Detroit Red Wings",8
"10489",2015-01-17,"Detroit Red Wings",8
"10490",2015-01-18,"Detroit Red Wings",6
"10491",2015-01-19,"Detroit Red Wings",4
"10492",2015-01-20,"Detroit Red Wings",6
"10493",2015-01-21,"Detroit Red Wings",4
"10494",2015-01-27,"Detroit Red Wings",4
"10495",2015-01-28,"Detroit Red Wings",3
"10496",2015-01-29,"Detroit Red Wings",3
"10497",2015-01-30,"Detroit Red Wings",4
"10498",2015-01-31,"Detroit Red Wings",5
"10499",2015-02-01,"Detroit Red Wings",4
"10500",2015-02-02,"Detroit Red Wings",5
"10501",2015-02-03,"Detroit Red Wings",5
"10502",2015-02-04,"Detroit Red Wings",5
"10503",2015-02-05,"Detroit Red Wings",5
"10504",2015-02-06,"Detroit Red Wings",5
"10505",2015-02-07,"Detroit Red Wings",5
"10506",2015-02-08,"Detroit Red Wings",4
"10507",2015-02-09,"Detroit Red Wings",5
"10508",2015-02-10,"Detroit Red Wings",5
"10509",2015-02-11,"Detroit Red Wings",6
"10510",2015-02-12,"Detroit Red Wings",6
"10511",2015-02-13,"Detroit Red Wings",8
"10512",2015-02-14,"Detroit Red Wings",9
"10513",2015-02-15,"Detroit Red Wings",7
"10514",2015-02-16,"Detroit Red Wings",9
"10515",2015-02-17,"Detroit Red Wings",10
"10516",2015-02-18,"Detroit Red Wings",10
"10517",2015-02-19,"Detroit Red Wings",8
"10518",2015-02-20,"Detroit Red Wings",8
"10519",2015-02-21,"Detroit Red Wings",9
"10520",2015-02-22,"Detroit Red Wings",7
"10521",2015-02-23,"Detroit Red Wings",9
"10522",2015-02-24,"Detroit Red Wings",8
"10523",2015-02-25,"Detroit Red Wings",8
"10524",2015-02-26,"Detroit Red Wings",9
"10525",2015-02-27,"Detroit Red Wings",8
"10526",2015-02-28,"Detroit Red Wings",8
"10527",2015-03-01,"Detroit Red Wings",8
"10528",2015-03-02,"Detroit Red Wings",8
"10529",2015-03-03,"Detroit Red Wings",8
"10530",2015-03-04,"Detroit Red Wings",8
"10531",2015-03-05,"Detroit Red Wings",8
"10532",2015-03-06,"Detroit Red Wings",8
"10533",2015-03-07,"Detroit Red Wings",8
"10534",2015-03-08,"Detroit Red Wings",9
"10535",2015-03-09,"Detroit Red Wings",10
"10536",2015-03-10,"Detroit Red Wings",9
"10537",2015-03-11,"Detroit Red Wings",9
"10538",2015-03-12,"Detroit Red Wings",9
"10539",2015-03-13,"Detroit Red Wings",10
"10540",2015-03-14,"Detroit Red Wings",10
"10541",2015-03-15,"Detroit Red Wings",10
"10542",2015-03-16,"Detroit Red Wings",10
"10543",2015-03-17,"Detroit Red Wings",10
"10544",2015-03-18,"Detroit Red Wings",10
"10545",2015-03-19,"Detroit Red Wings",10
"10546",2015-03-20,"Detroit Red Wings",11
"10547",2015-03-21,"Detroit Red Wings",11
"10548",2015-03-22,"Detroit Red Wings",11
"10549",2015-03-23,"Detroit Red Wings",10
"10550",2015-03-24,"Detroit Red Wings",10
"10551",2015-03-25,"Detroit Red Wings",11
"10552",2015-03-26,"Detroit Red Wings",11
"10553",2015-03-27,"Detroit Red Wings",11
"10554",2015-03-28,"Detroit Red Wings",11
"10555",2015-03-29,"Detroit Red Wings",11
"10556",2015-03-30,"Detroit Red Wings",11
"10557",2015-03-31,"Detroit Red Wings",12
"10558",2015-04-01,"Detroit Red Wings",13
"10559",2015-04-02,"Detroit Red Wings",13
"10560",2015-04-03,"Detroit Red Wings",13
"10561",2015-04-04,"Detroit Red Wings",13
"10562",2015-04-05,"Detroit Red Wings",11
"10563",2015-04-06,"Detroit Red Wings",11
"10564",2015-04-07,"Detroit Red Wings",12
"10565",2015-04-08,"Detroit Red Wings",11
"10566",2015-04-09,"Detroit Red Wings",11
"10567",2015-04-10,"Detroit Red Wings",11
"10568",2015-04-11,"Detroit Red Wings",12
"10569",2015-10-07,"Detroit Red Wings",0
"10570",2015-10-08,"Detroit Red Wings",5
"10571",2015-10-09,"Detroit Red Wings",13
"10572",2015-10-10,"Detroit Red Wings",3
"10573",2015-10-11,"Detroit Red Wings",2
"10574",2015-10-12,"Detroit Red Wings",3
"10575",2015-10-13,"Detroit Red Wings",5
"10576",2015-10-14,"Detroit Red Wings",3
"10577",2015-10-15,"Detroit Red Wings",3
"10578",2015-10-16,"Detroit Red Wings",3
"10579",2015-10-17,"Detroit Red Wings",7
"10580",2015-10-18,"Detroit Red Wings",12
"10581",2015-10-19,"Detroit Red Wings",13
"10582",2015-10-20,"Detroit Red Wings",13
"10583",2015-10-21,"Detroit Red Wings",16
"10584",2015-10-22,"Detroit Red Wings",17
"10585",2015-10-23,"Detroit Red Wings",19
"10586",2015-10-24,"Detroit Red Wings",16
"10587",2015-10-25,"Detroit Red Wings",12
"10588",2015-10-26,"Detroit Red Wings",14
"10589",2015-10-27,"Detroit Red Wings",15
"10590",2015-10-28,"Detroit Red Wings",18
"10591",2015-10-29,"Detroit Red Wings",20
"10592",2015-10-30,"Detroit Red Wings",21
"10593",2015-10-31,"Detroit Red Wings",23
"10594",2015-11-01,"Detroit Red Wings",19
"10595",2015-11-02,"Detroit Red Wings",20
"10596",2015-11-03,"Detroit Red Wings",20
"10597",2015-11-04,"Detroit Red Wings",16
"10598",2015-11-05,"Detroit Red Wings",16
"10599",2015-11-06,"Detroit Red Wings",17
"10600",2015-11-07,"Detroit Red Wings",15
"10601",2015-11-08,"Detroit Red Wings",15
"10602",2015-11-09,"Detroit Red Wings",17
"10603",2015-11-10,"Detroit Red Wings",17
"10604",2015-11-11,"Detroit Red Wings",13
"10605",2015-11-12,"Detroit Red Wings",13
"10606",2015-11-13,"Detroit Red Wings",17
"10607",2015-11-14,"Detroit Red Wings",17
"10608",2015-11-15,"Detroit Red Wings",19
"10609",2015-11-16,"Detroit Red Wings",19
"10610",2015-11-17,"Detroit Red Wings",15
"10611",2015-11-18,"Detroit Red Wings",16
"10612",2015-11-19,"Detroit Red Wings",14
"10613",2015-11-20,"Detroit Red Wings",17
"10614",2015-11-21,"Detroit Red Wings",13
"10615",2015-11-22,"Detroit Red Wings",9
"10616",2015-11-23,"Detroit Red Wings",10
"10617",2015-11-24,"Detroit Red Wings",11
"10618",2015-11-25,"Detroit Red Wings",11
"10619",2015-11-27,"Detroit Red Wings",12
"10620",2015-11-28,"Detroit Red Wings",9
"10621",2015-11-29,"Detroit Red Wings",13
"10622",2015-11-30,"Detroit Red Wings",9
"10623",2015-12-01,"Detroit Red Wings",10
"10624",2015-12-02,"Detroit Red Wings",7
"10625",2015-12-03,"Detroit Red Wings",8
"10626",2015-12-04,"Detroit Red Wings",6
"10627",2015-12-05,"Detroit Red Wings",7
"10628",2015-12-06,"Detroit Red Wings",6
"10629",2015-12-07,"Detroit Red Wings",7
"10630",2015-12-08,"Detroit Red Wings",7
"10631",2015-12-09,"Detroit Red Wings",8
"10632",2015-12-10,"Detroit Red Wings",8
"10633",2015-12-11,"Detroit Red Wings",5
"10634",2015-12-12,"Detroit Red Wings",6
"10635",2015-12-13,"Detroit Red Wings",7
"10636",2015-12-14,"Detroit Red Wings",7
"10637",2015-12-15,"Detroit Red Wings",7
"10638",2015-12-16,"Detroit Red Wings",8
"10639",2015-12-17,"Detroit Red Wings",8
"10640",2015-12-18,"Detroit Red Wings",10
"10641",2015-12-19,"Detroit Red Wings",11
"10642",2015-12-20,"Detroit Red Wings",11
"10643",2015-12-21,"Detroit Red Wings",9
"10644",2015-12-22,"Detroit Red Wings",10
"10645",2015-12-26,"Detroit Red Wings",12
"10646",2015-12-27,"Detroit Red Wings",7
"10647",2015-12-28,"Detroit Red Wings",8
"10648",2015-12-29,"Detroit Red Wings",10
"10649",2015-12-30,"Detroit Red Wings",12
"10650",2015-12-31,"Detroit Red Wings",12
"10651",2016-01-01,"Detroit Red Wings",12
"10652",2016-01-02,"Detroit Red Wings",12
"10653",2016-01-03,"Detroit Red Wings",11
"10654",2016-01-04,"Detroit Red Wings",11
"10655",2016-01-05,"Detroit Red Wings",8
"10656",2016-01-06,"Detroit Red Wings",10
"10657",2016-01-07,"Detroit Red Wings",11
"10658",2016-01-08,"Detroit Red Wings",8
"10659",2016-01-09,"Detroit Red Wings",8
"10660",2016-01-10,"Detroit Red Wings",8
"10661",2016-01-11,"Detroit Red Wings",8
"10662",2016-01-12,"Detroit Red Wings",8
"10663",2016-01-13,"Detroit Red Wings",8
"10664",2016-01-14,"Detroit Red Wings",8
"10665",2016-01-15,"Detroit Red Wings",7
"10666",2016-01-16,"Detroit Red Wings",7
"10667",2016-01-17,"Detroit Red Wings",7
"10668",2016-01-18,"Detroit Red Wings",7
"10669",2016-01-19,"Detroit Red Wings",7
"10670",2016-01-20,"Detroit Red Wings",8
"10671",2016-01-21,"Detroit Red Wings",8
"10672",2016-01-22,"Detroit Red Wings",9
"10673",2016-01-23,"Detroit Red Wings",8
"10674",2016-01-24,"Detroit Red Wings",8
"10675",2016-01-25,"Detroit Red Wings",8
"10676",2016-01-26,"Detroit Red Wings",8
"10677",2016-01-27,"Detroit Red Wings",8
"10678",2016-02-02,"Detroit Red Wings",8
"10679",2016-02-03,"Detroit Red Wings",8
"10680",2016-02-04,"Detroit Red Wings",9
"10681",2016-02-05,"Detroit Red Wings",10
"10682",2016-02-06,"Detroit Red Wings",10
"10683",2016-02-07,"Detroit Red Wings",10
"10684",2016-02-08,"Detroit Red Wings",10
"10685",2016-02-09,"Detroit Red Wings",8
"10686",2016-02-10,"Detroit Red Wings",8
"10687",2016-02-11,"Detroit Red Wings",8
"10688",2016-02-12,"Detroit Red Wings",8
"10689",2016-02-13,"Detroit Red Wings",8
"10690",2016-02-14,"Detroit Red Wings",9
"10691",2016-02-15,"Detroit Red Wings",8
"10692",2016-02-16,"Detroit Red Wings",8
"10693",2016-02-17,"Detroit Red Wings",9
"10694",2016-02-18,"Detroit Red Wings",9
"10695",2016-02-19,"Detroit Red Wings",10
"10696",2016-02-20,"Detroit Red Wings",11
"10697",2016-02-21,"Detroit Red Wings",10
"10698",2016-02-22,"Detroit Red Wings",11
"10699",2016-02-23,"Detroit Red Wings",11
"10700",2016-02-24,"Detroit Red Wings",9
"10701",2016-02-25,"Detroit Red Wings",11
"10702",2016-02-26,"Detroit Red Wings",12
"10703",2016-02-27,"Detroit Red Wings",12
"10704",2016-02-28,"Detroit Red Wings",11
"10705",2016-02-29,"Detroit Red Wings",11
"10706",2016-03-01,"Detroit Red Wings",10
"10707",2016-03-02,"Detroit Red Wings",11
"10708",2016-03-03,"Detroit Red Wings",11
"10709",2016-03-04,"Detroit Red Wings",14
"10710",2016-03-05,"Detroit Red Wings",14
"10711",2016-03-06,"Detroit Red Wings",14
"10712",2016-03-07,"Detroit Red Wings",15
"10713",2016-03-08,"Detroit Red Wings",15
"10714",2016-03-09,"Detroit Red Wings",15
"10715",2016-03-10,"Detroit Red Wings",15
"10716",2016-03-11,"Detroit Red Wings",14
"10717",2016-03-12,"Detroit Red Wings",15
"10718",2016-03-13,"Detroit Red Wings",14
"10719",2016-03-14,"Detroit Red Wings",15
"10720",2016-03-15,"Detroit Red Wings",15
"10721",2016-03-16,"Detroit Red Wings",15
"10722",2016-03-17,"Detroit Red Wings",16
"10723",2016-03-18,"Detroit Red Wings",15
"10724",2016-03-19,"Detroit Red Wings",15
"10725",2016-03-20,"Detroit Red Wings",15
"10726",2016-03-21,"Detroit Red Wings",15
"10727",2016-03-22,"Detroit Red Wings",15
"10728",2016-03-23,"Detroit Red Wings",15
"10729",2016-03-24,"Detroit Red Wings",15
"10730",2016-03-25,"Detroit Red Wings",15
"10731",2016-03-26,"Detroit Red Wings",15
"10732",2016-03-27,"Detroit Red Wings",15
"10733",2016-03-28,"Detroit Red Wings",15
"10734",2016-03-29,"Detroit Red Wings",15
"10735",2016-03-30,"Detroit Red Wings",15
"10736",2016-03-31,"Detroit Red Wings",16
"10737",2016-04-01,"Detroit Red Wings",16
"10738",2016-04-02,"Detroit Red Wings",15
"10739",2016-04-03,"Detroit Red Wings",14
"10740",2016-04-04,"Detroit Red Wings",14
"10741",2016-04-05,"Detroit Red Wings",14
"10742",2016-04-06,"Detroit Red Wings",14
"10743",2016-04-07,"Detroit Red Wings",14
"10744",2016-04-08,"Detroit Red Wings",14
"10745",2016-04-09,"Detroit Red Wings",14
"10746",2016-04-10,"Detroit Red Wings",15
"10747",2016-10-12,"Detroit Red Wings",0
"10748",2016-10-13,"Detroit Red Wings",6
"10749",2016-10-14,"Detroit Red Wings",17
"10750",2016-10-15,"Detroit Red Wings",19
"10751",2016-10-16,"Detroit Red Wings",25
"10752",2016-10-17,"Detroit Red Wings",28
"10753",2016-10-18,"Detroit Red Wings",16
"10754",2016-10-19,"Detroit Red Wings",22
"10755",2016-10-20,"Detroit Red Wings",11
"10756",2016-10-21,"Detroit Red Wings",15
"10757",2016-10-22,"Detroit Red Wings",7
"10758",2016-10-23,"Detroit Red Wings",4
"10759",2016-10-24,"Detroit Red Wings",5
"10760",2016-10-25,"Detroit Red Wings",5
"10761",2016-10-26,"Detroit Red Wings",2
"10762",2016-10-27,"Detroit Red Wings",3
"10763",2016-10-28,"Detroit Red Wings",2
"10764",2016-10-29,"Detroit Red Wings",3
"10765",2016-10-30,"Detroit Red Wings",5
"10766",2016-11-01,"Detroit Red Wings",5
"10767",2016-11-02,"Detroit Red Wings",8
"10768",2016-11-03,"Detroit Red Wings",5
"10769",2016-11-04,"Detroit Red Wings",8
"10770",2016-11-05,"Detroit Red Wings",8
"10771",2016-11-06,"Detroit Red Wings",10
"10772",2016-11-07,"Detroit Red Wings",11
"10773",2016-11-08,"Detroit Red Wings",12
"10774",2016-11-09,"Detroit Red Wings",8
"10775",2016-11-10,"Detroit Red Wings",9
"10776",2016-11-11,"Detroit Red Wings",6
"10777",2016-11-12,"Detroit Red Wings",8
"10778",2016-11-13,"Detroit Red Wings",11
"10779",2016-11-14,"Detroit Red Wings",12
"10780",2016-11-15,"Detroit Red Wings",13
"10781",2016-11-16,"Detroit Red Wings",16
"10782",2016-11-17,"Detroit Red Wings",16
"10783",2016-11-18,"Detroit Red Wings",20
"10784",2016-11-19,"Detroit Red Wings",20
"10785",2016-11-20,"Detroit Red Wings",22
"10786",2016-11-21,"Detroit Red Wings",23
"10787",2016-11-22,"Detroit Red Wings",26
"10788",2016-11-23,"Detroit Red Wings",26
"10789",2016-11-24,"Detroit Red Wings",24
"10790",2016-11-25,"Detroit Red Wings",24
"10791",2016-11-26,"Detroit Red Wings",19
"10792",2016-11-27,"Detroit Red Wings",19
"10793",2016-11-28,"Detroit Red Wings",21
"10794",2016-11-29,"Detroit Red Wings",21
"10795",2016-11-30,"Detroit Red Wings",19
"10796",2016-12-01,"Detroit Red Wings",19
"10797",2016-12-02,"Detroit Red Wings",18
"10798",2016-12-03,"Detroit Red Wings",20
"10799",2016-12-04,"Detroit Red Wings",23
"10800",2016-12-05,"Detroit Red Wings",20
"10801",2016-12-06,"Detroit Red Wings",20
"10802",2016-12-07,"Detroit Red Wings",16
"10803",2016-12-08,"Detroit Red Wings",18
"10804",2016-12-09,"Detroit Red Wings",18
"10805",2016-12-10,"Detroit Red Wings",18
